45,BD+20 1790,1,7.78287,0,25.4,4410,0.63,3/26/2015,BD+20 1790 b,0,0,0,197.826795,16.032815,0
46,BD+20 2457,2,379.63,0,0,4137,2.8,5/14/2014,BD+20 2457 b,0,0,0,216.044637,53.952466,0
47,BD+20 2457,2,621.99,0,0,4137,2.8,5/14/2014,BD+20 2457 c,0,0,0,216.044637,53.952466,0
48,BD+20 274,1,578.2,0,0,4296,0.8,9/18/2015,BD+20 274 b,0,0,0,138.974211,-40.233372,0
49,BD+20 594,1,41.6855,3.4,152.1,5766,0.96,7/28/2016,BD+20 594 b,546,6,3.3,166.796349,-28.053358,0
50,BD+48 738,1,392.6,0,0,4414,0.74,8/13/2015,BD+48 738 b,0,0,0,140.808446,-9.378616,0
51,BD+49 828,1,2590,0,0,4943,1.52,2/5/2015,BD+49 828 b,0,0,0,143.61786,-7.801619,0
52,BD-06 1339,2,3.8728,0,20.1,4324,0.7,5/14/2014,BD-06 1339 b,0,0,0,211.656623,-15.715292,0
53,BD-06 1339,2,125.94,0,20.1,4324,0.7,5/14/2014,BD-06 1339 c,0,0,0,211.656623,-15.715292,0
54,BD-08 2823,2,5.6,0,42.09,4746,0.74,5/14/2014,BD-08 2823 b,0,0,0,248.496598,34.756008,0
55,BD-08 2823,2,237.6,0,42.09,4746,0.74,5/14/2014,BD-08 2823 c,0,0,0,248.496598,34.756008,0
56,BD-10 3166,1,3.48777,0,80,5393,1.01,8/27/2014,BD-10 3166 b,0,0,0,263.285621,43.238484,0
57,BD-11 4672,1,1667,0,27.3,4475,0.57,1/8/2015,BD-11 4672 b,0,0,0,20.544276,-1.360142,0
58,BD-13 2130,1,714.3,0,766,0,2.4,5/14/2015,BD-13 2130 b,0,0,0,230.520556,3.531328,0
59,BD-17 63,1,655.6,0,37.54,4714,0.74,5/14/2014,BD-17 63 b,0,0,0,95.83866,-77.878025,0
60,CFBDSIR J145829+101343,1,10037.5,0,23.1,580.5,0.02,5/14/2014,CFBDSIR J145829+101343 b,370,1430.2,0,9.594193,55.655091,0
61,CHXR 73,1,0,0,0,0,0.35,5/14/2014,CHXR 73 b,0,2662.991,0,297.277725,-15.921642,0
62,CT Cha,1,0,0,165,0,0,5/14/2014,CT Cha b,2600,1907,0,296.653702,-14.909141,0
63,CoRoT-1,1,1.5089557,0.05,0,5950,0.95,5/14/2014,CoRoT-1 b,1898,38.14,0.08,215.338871,-2.107038,0
64,CoRoT-10,1,13.2406,0.83,345,5075,0.89,5/14/2014,CoRoT-10 b,600,50.85,2.15,37.36077,-6.952866,0
65,CoRoT-11,1,2.99433,0.15,560,6440,1.27,5/14/2014,CoRoT-11 b,1657,108.06,0.08,37.240052,4.630184,0
66,CoRoT-12,1,2.828042,0.129,1150,5675,1.08,5/14/2014,CoRoT-12 b,1442,22.247,0,213.131579,-2.454352,0
67,CoRoT-13,1,4.03519,0.23,1060,5945,1.09,5/14/2014,CoRoT-13 b,1700,20.976,0.32,217.398629,-2.439602,0
68,CoRoT-14,1,1.51214,1.5,1340,6035,1.13,5/14/2014,CoRoT-14 b,1952,190.7,0.28,218.117909,-2.02052,0
69,CoRoT-16,1,5.35227,0.21,840,5650,1.1,5/14/2014,CoRoT-16 b,0,27.014,1.21,25.61429,1.101176,0
70,CoRoT-17,1,3.7681,0.38,920,5740,1.04,5/14/2014,CoRoT-17 b,1626,95.34,0.24,25.152987,0.666416,0
71,CoRoT-18,1,1.9000693,0.8,870,5440,0.95,5/14/2014,CoRoT-18 b,1550,120.77,0.4,210.819116,-4.184836,0
72,CoRoT-19,1,3.89713,0.06,770,6090,1.21,5/14/2014,CoRoT-19 b,2000,19.07,0.1,210.420555,-5.261174,0
73,CoRoT-2,1,1.7429935,0.08,200,5625,0.96,5/14/2014,CoRoT-2 b,0,69.92,0,38.262664,-7.29091,0
74,CoRoT-20,1,9.24285,1.1,1230,5880,1.14,5/14/2014,CoRoT-20 b,1002,73.1,0.63,210.381237,-4.468533,0
75,CoRoT-22,1,9.75598,1,592,5939,1.1,8/21/2014,CoRoT-22 b,885,14,1.3,37.482976,4.775094,0
76,CoRoT-23,1,3.6313,1.1,600,5900,1.14,5/14/2014,CoRoT-23 b,1660,95.3,0.6,35.417464,4.719742,0
77,CoRoT-24,2,5.1134,0,600,4950,0.91,6/11/2014,CoRoT-24 b,1070,0,2.8,215.817489,-2.527569,0
78,CoRoT-24,2,11.759,0.5,600,4950,0.91,6/11/2014,CoRoT-24 c,850,11,2.5,215.817489,-2.527569,0
79,CoRoT-25,1,4.86069,0.15,1000,6040,1.09,5/14/2014,CoRoT-25 b,1330,12.71,1.1,37.730101,4.941217,0
80,CoRoT-26,1,4.20474,0.09,1670,5590,1.09,5/14/2014,CoRoT-26 b,1600,15.89,0.01,37.744489,5.926071,0
81,CoRoT-27,1,3.57532,1.92,0,5900,1.05,5/14/2014,CoRoT-27 b,1500,174.8,0.95,35.894565,6.396628,0
82,CoRoT-28,1,5.20851,0.27,560,5150,1.01,4/16/2015,CoRoT-28 b,0,27.65121,0.16,36.013038,6.241398,0
83,CoRoT-29,1,2.85057,0.74,765,5260,0.97,4/16/2015,CoRoT-29 b,0,63.566,0.19,36.923396,6.458815,0
84,CoRoT-3,1,4.2568,5.6,680,6740,1.37,5/14/2014,CoRoT-3 b,0,317.8,0.4,37.262944,-8.120552,0
85,CoRoT-4,1,9.20205,0.15,0,6190,1.16,5/14/2014,CoRoT-4 b,1074,25.43,0.05,213.227628,-0.898357,0
86,CoRoT-5,1,4.0378962,0.031,0,6100,1,5/14/2014,CoRoT-5 b,1438,14.937,0,211.484737,-1.036103,0
87,CoRoT-6,1,8.886593,0.31,0,6090,1.05,5/14/2014,CoRoT-6 b,1017,108.06,0.33,38.062962,4.615925,0
88,CoRoT-7,2,0.85359159,1.4,153.7,5259,0.91,3/5/2015,CoRoT-7 b,1756,0.86,0.07,213.01046,-2.178513,0
89,CoRoT-7,2,3.698,0,153.7,5259,0.91,9/10/2015,CoRoT-7 c,0,0.9,0,213.01046,-2.178513,0
90,CoRoT-8,1,6.21229,0.1,380,5080,0.88,5/14/2014,CoRoT-8 b,0,9.53,0.4,38.21292,-7.104052,0
91,CoRoT-9,1,95.2738,0.13,460,5625,0.99,5/14/2014,CoRoT-9 b,0,22.25,3,37.523411,4.66224,0
92,CoRoTID 223977153,1,6.71837,1.3,0,5970,1.08,9/15/2017,CoRoTID 223977153 b,938,31.783,0,203.482383,1.863841,0
93,DENIS-P J082303.1-491201,1,246.36,0,20.77,0,0.07,5/14/2014,DENIS-P J082303.1-491201 b,0,603.85,0,265.616826,-6.8261,0
94,DH Tau,1,0,0,140,0,0.33,5/14/2014,DH Tau b,0,3178,0,171.899507,-14.938721,0
95,DP Leo,1,10220,0,0,0,0.69,5/14/2014,DP Leo b,0,0,0,230.897313,66.456659,0
96,EPIC 211822797,1,21.169619,0,181.5,3880,0.61,12/21/2016,EPIC 211822797 b,0,0,9.8,208.283081,32.037607,0
97,EPIC 220674823,2,0.571308,0,253,5590,0.93,1/26/2017,EPIC 220674823 b,0,0,0.3,123.284031,-52.076426,0
98,EPIC 220674823,2,13.341245,0,253,5590,0.93,1/26/2017,EPIC 220674823 c,0,0,2.4,123.284031,-52.076426,0
99,FU Tau,1,0,0,140,2838,0.05,3/10/2016,FU Tau b,2375,0,0,172.115586,-16.960789,0
100,Fomalhaut,1,555530,0,7.69,0,2,11/19/2015,Fomalhaut b,0,0,0,20.488021,-64.90957,0
101,GJ 1132,1,1.6289287,1.7,12.04,0,0.18,7/27/2017,GJ 1132 b,644,0.54,0,277.259427,7.760276,0
102,GJ 1148,2,41.38,0,11.03,0,0,10/19/2017,GJ 1148 b,0,0,0,160.612622,68.918003,0
103,GJ 1148,2,532.58,0,11.03,0,0,10/19/2017,GJ 1148 c,0,0,0,160.612622,68.918003,0
104,GJ 1214,1,1.58040456,0.33,0,3170,0.16,12/3/2015,GJ 1214 b,0,0.85814,0.8,26.163966,23.610877,0
105,GJ 15 A,1,11.4433,0,3.57,3567,0.38,9/18/2014,GJ 15 A b,0,0,0,116.676911,-18.446885,27.28
106,GJ 163,3,8.63182,0,14.97,3500,0.4,1/26/2017,GJ 163 b,0,0,0,262.781877,-45.323559,0
107,GJ 163,3,25.63058,0,14.97,3500,0.4,1/26/2017,GJ 163 c,0,0,0,262.781877,-45.323559,0
108,GJ 163,3,603.95116,0,14.97,3500,0.4,1/26/2017,GJ 163 d,0,0,0,262.781877,-45.323559,0
109,GJ 179,1,2288,0,12.12,3370,0.36,5/14/2014,GJ 179 b,0,0,0,192.22585,-22.862487,0
110,GJ 273,2,18.6498,0,3.8,3382,0.29,3/30/2017,GJ 273 b,0,0,0,212.344605,10.373589,26.3
111,GJ 273,2,4.7234,0,3.8,3382,0.29,3/30/2017,GJ 273 c,0,0,0,212.344605,10.373589,26.3
112,GJ 3021,1,133.71,0,17.62,5540,0.9,5/14/2014,GJ 3021 b,350,0,0,304.871337,-37.144007,29.02
113,GJ 3138,3,1.22003,0,28.48,3717,0.68,3/30/2017,GJ 3138 b,0,0,0,185.995664,-69.012079,0
114,GJ 3138,3,5.974,0,28.48,3717,0.68,3/30/2017,GJ 3138 c,0,0,0,185.995664,-69.012079,0
115,GJ 3138,3,257.8,0,28.48,3717,0.68,3/30/2017,GJ 3138 d,0,0,0,185.995664,-69.012079,0
116,GJ 317,1,692,0,15.1,3510,0.42,8/27/2014,GJ 317 b,0,222.5,0,246.799424,11.189983,0
117,GJ 328,1,4100,0,20.03,3900,0.69,5/14/2014,GJ 328 b,0,0,0,226.70542,28.000745,0
118,GJ 3293,4,30.5987,0,15.77,3466,0.42,3/30/2017,GJ 3293 b,0,0,0,223.539019,-41.612063,0
119,GJ 3293,4,122.6196,0,15.77,3466,0.42,3/30/2017,GJ 3293 c,0,0,0,223.539019,-41.612063,0
120,GJ 3293,4,48.1345,0,15.77,3466,0.42,3/30/2017,GJ 3293 d,0,0,0,223.539019,-41.612063,0
121,GJ 3293,4,13.2543,0,15.77,3466,0.42,3/30/2017,GJ 3293 e,0,0,0,223.539019,-41.612063,0
122,GJ 3323,2,5.3636,0,5.32,3159,0.16,3/30/2017,GJ 3323 b,0,0,0,206.43054,-27.471237,0
123,GJ 3323,2,40.54,0,5.32,3159,0.16,3/30/2017,GJ 3323 c,0,0,0,206.43054,-27.471237,0
124,GJ 3341,1,14.207,0,0,3526,0.47,12/3/2014,GJ 3341 b,0,0,0,234.219884,-33.034901,0
125,GJ 3470,1,3.3366487,0.33,25.2,3652,0.51,7/23/2014,GJ 3470 b,604,1.61,0.44,206.235418,21.757602,0
126,GJ 3634,1,2.64561,0,19.8,0,0.45,8/21/2014,GJ 3634 b,0,4,0,276.223405,25.810023,0
127,GJ 3998,2,2.64977,0,17.79,3722,0.5,7/28/2016,GJ 3998 b,0,0,0,32.274221,26.150632,0
128,GJ 3998,2,13.74,0,17.79,3722,0.5,7/28/2016,GJ 3998 c,0,0,0,32.274221,26.150632,0
129,GJ 433,1,7.3709,0,9.04,3600,0.48,5/14/2014,GJ 433 b,0,0,0,284.883981,27.654775,0
130,GJ 436,1,2.64388312,0.29,10.23,0,0.47,2/5/2015,GJ 436 b,0,2.3,0.46,210.542041,74.568904,26.85
131,GJ 504,1,0,0,17.95,6234,1.22,5/14/2014,GJ 504 b,510,1430.2,0,322.790149,71.3124,29.51
132,GJ 536,1,8.7076,0,10.03,3685,0.52,11/17/2016,GJ 536 b,0,0,0,335.055454,55.813453,27.2
133,GJ 581,3,5.3686,0,6.27,0,0.31,7/9/2014,GJ 581 b,0,0,0,354.077543,40.01875,0
